id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
143605,""" Berlin Fuffa's 40m2  apartment """,696492,Gaston & Elena,Neukölln,Schillerpromenade,52.47678,13.42437,Entire home/apt,55,22,57,2019-05-22,0.59,1,214
145249,Private Wing of Penthouse - Terrace,703493,Evelyna,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.51819,13.46122,Private room,70,3,123,2019-06-24,1.46,1,45
147339,LOVELY APARTMENT - CENTRAL - QUIET,712073,Gerhard,Tempelhof - Schöneberg,Schöneberg-Süd,52.48174,13.35947,Entire home/apt,50,3,169,2019-06-18,1.76,1,238
151249,"Quiet, Terrasse, cats, baby equiped",728298,Ju,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.49678,13.41679,Entire home/apt,81,2,15,2019-06-11,0.32,1,326
153015,Central Artist Appartement Prenzlauer Berg,735823,Marc,Pankow,Helmholtzplatz,52.54715,13.41825,Private room,52,3,144,2019-06-18,1.65,1,304
155048,"Great 76 qm apartment, 2 balconies",745571,Uli,Pankow,Prenzlauer Berg Nord,52.54251,13.43719,Entire home/apt,100,180,4,2011-11-14,0.04,1,173
156010,TWO ROOM APARTMENT ALEXANDERPLATZ ,750165,Angela,Mitte,Alexanderplatz,52.51554,13.42447,Entire home/apt,36,90,96,2018-12-20,0.99,1,100
157546,"Facing the canal, Paul Lincke Ufer",311245,François,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49545,13.42449,Entire home/apt,88,5,52,2019-07-07,0.55,1,279
157839,1 room in typical berlin-style apt.,671536,Nicole,Mitte,Moabit West,52.53083,13.34221,Private room,29,1,284,2019-06-22,3.05,1,296
158890,Loft Appartment in Berlin Kreuzberg,762526,Stefan,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49903,13.43654,Entire home/apt,100,2,3,2016-06-09,0.06,1,202
159454,"Bright, Charming and Modern Altbau",499725,Prasad,Charlottenburg-Wilm.,Wiesbadener Straße,52.47831,13.3114,Entire home/apt,161,2,66,2019-06-23,0.79,1,259
160517,House at Forest near from Tegeler See/Airport,768932,Sven,Reinickendorf,West 3,52.59656,13.30218,Entire home/apt,65,1,24,2019-07-05,2.27,1,281
162012,Cozy room in Berlin Kreuzkölln,774736,Katerina,Neukölln,Reuterstraße,52.49076,13.4245,Private room,40,7,3,2016-05-24,0.03,1,203
162111,"Sunny, cosy room + holland bicycle!",775103,Verena,Neukölln,Rixdorf,52.47729,13.44618,Private room,39,4,46,2019-06-18,0.48,1,350
163287,"Very nice apartment, Bergmann area",779623,Stefano,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49179,13.39727,Entire home/apt,29,150,71,2016-04-30,0.73,1,190
163411,Ample parkside apartment Kreuzberg,779213,Jutta,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49738,13.43637,Entire home/apt,90,5,27,2019-06-28,0.29,1,172
166715,Wonderful dream near Friedrichshain,794265,Ole,Lichtenberg,Neu Lichtenberg,52.50273,13.47951,Private room,30,1,65,2019-06-30,0.68,1,27
167189,Colorful & Bright Spot BerlinKrzbrg,796727,Juan,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.50189,13.43801,Private room,49,2,377,2019-07-03,3.89,1,0
168615,STAYINTOWN - Apartment in Berlin,803717,Dirk,Pankow,Blankenburg/Heinersdorf/Märchenland,52.58055,13.44539,Entire home/apt,49,2,7,2019-03-05,0.08,1,95
169907,Cozy Berlin nest with great access,809715,Donna,Tempelhof - Schöneberg,Friedenau,52.46981,13.33037,Private room,30,1,13,2017-12-17,0.27,1,191
170582,Room for one Women - Living Community,813767,Lena,Charlottenburg-Wilm.,Wiesbadener Straße,52.46747,13.31374,Private room,23,5,29,2019-06-29,1.15,1,191
170652,2-room apartment. Mauerpark TOP!,814026,Frank,Mitte,Brunnenstr. Nord,52.5453,13.39729,Private room,40,5,5,2018-09-21,0.06,1,362
171746,Lovely oasis in heart of Prenzlberg,819384,Eva-Marion,Pankow,Helmholtzplatz,52.54411,13.4141,Entire home/apt,70,4,104,2019-05-25,1.83,1,297
171755,2-Room Apartment at Bergmannkiez!!!,819379,Therese,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49176,13.3926,Entire home/apt,63,4,9,2015-08-20,0.10,1,283
173153,Beautiful flat 95m² in Berlin Mitte,826546,Wolfgang,Pankow,Prenzlauer Berg Südwest,52.53055,13.40702,Entire home/apt,80,2,33,2017-10-30,0.35,1,0
174391,BERLIN The most central!,833209,Julija,Mitte,Alexanderplatz,52.52886,13.39684,Private room,42,1,1,2016-05-06,0.03,1,0
174547,Berlin City Apartment 1with WiFi,833995,Ilona,Mitte,Alexanderplatz,52.511,13.41595,Entire home/apt,96,90,31,2016-10-02,0.33,4,0
174560,"2 apartment in Berlin Center, WiFi",833995,Ilona,Mitte,Alexanderplatz,52.51073,13.41791,Entire home/apt,75,60,56,2016-10-01,0.64,4,0
174576,Berlin City Suite 3 mit W-Lan ,833995,Ilona,Mitte,Alexanderplatz,52.5094,13.41623,Entire home/apt,96,60,41,2016-10-02,0.45,4,0
174579,Berlin City Studio 4 mit W-Lan,833995,Ilona,Mitte,Alexanderplatz,52.50905,13.41556,Entire home/apt,76,60,81,2016-09-23,0.89,4,0
175667,"calm, sunny and central apartment ",839532,Christina,Tempelhof - Schöneberg,Schöneberg-Süd,52.49138,13.34331,Entire home/apt,46,60,8,2017-01-11,0.09,2,191
176342,11C Landmark/Checkpoint Charlie/120m2/2BATH/3BR,843326,Nino,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.50363,13.39201,Entire home/apt,306,1,31,2019-06-29,0.46,2,269
176355,11A Landmark/Checkpoint Charlie/110m2/2BATH/2BR,843326,Nino,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.50148,13.39111,Entire home/apt,264,1,19,2019-05-04,0.21,2,308
176396,Quiet room direct to metro station,843558,Christine,Reinickendorf,Ost 2,52.57203,13.35079,Private room,20,1,11,2018-10-24,0.35,1,0
176852,Big & sunny apartment in Kreuzberg,845790,Aaike,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.493,13.44089,Entire home/apt,50,3,1,2015-09-23,0.02,1,192
177486,"Comfy bright studio flat, 1-3 Pers.",848965,Joscha,Charlottenburg-Wilm.,Volkspark Wilmersdorf,52.47894,13.32716,Entire home/apt,59,2,51,2019-06-18,0.58,1,240
178347,Design Apartment Berlin Neukölln,853446,Florian,Neukölln,Reuterstraße,52.48865,13.42896,Entire home/apt,75,2,71,2016-04-17,0.75,1,70
179102,"registered, legal hughe penthouse for 1-2 families",857327,Alke,Pankow,Pankow Zentrum,52.56868,13.39969,Entire home/apt,170,2,129,2019-06-02,1.41,1,287
180440,CITY STUDIO WEST@ Kurfürstendamm(monthly discount),864399,Roland & Sam,Charlottenburg-Wilm.,Neue Kantstraße,52.50065,13.30162,Entire home/apt,39,60,20,2019-05-16,0.24,1,240
181160,KINOMUSEUM,868282,Frank,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49173,13.421,Private room,54,2,434,2019-07-04,4.50,2,54
181810,Calm & Cozy in Lovely Central Historical Quarter,871389,Andy,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.48746,13.39147,Entire home/apt,39,3,2,2012-01-08,0.02,1,18
183206,Cosy Studio with balcony in Mitte,98237,Damian,Mitte,Alexanderplatz,52.52735,13.38986,Entire home/apt,64,1,465,2019-07-07,4.87,3,248
183918,furnitured red room with balcony,882529,Ariane,Pankow,Pankow Süd,52.55763,13.41294,Private room,30,15,14,2016-10-09,0.16,1,0
183988,Luxury Ku'damm Studio +  Bikes 4you,882801,Jennifer,Charlottenburg-Wilm.,Neue Kantstraße,52.50103,13.3027,Entire home/apt,100,2,394,2019-06-27,4.31,1,266
183996,"LargeTopFloor,2Terraces,Prenzl'Berg",882841,Johannes,Pankow,Helmholtzplatz,52.54363,13.41854,Entire home/apt,375,3,37,2018-12-30,0.74,2,102
185960,bright and large furnished room,893191,Juliane,Neukölln,Reuterstraße,52.48351,13.43555,Private room,29,7,14,2018-08-09,0.15,1,234
186851,"CasaKaiser, 2 room apartment",898345,Susanne,Tempelhof - Schöneberg,Schöneberg-Nord,52.49283,13.34873,Entire home/apt,33,62,51,2018-08-31,0.59,1,130
186908,Appartement Dressler in Berlin,898681,Michael,Treptow - Köpenick,Schmöckwitz/Karolinenhof/Rauchfangswerder,52.38058,13.65116,Entire home/apt,45,3,2,2014-08-14,0.03,4,324
186999,House on Water,898681,Michael,Treptow - Köpenick,Schmöckwitz/Karolinenhof/Rauchfangswerder,52.37887,13.65123,Entire home/apt,120,3,7,2018-03-25,0.12,4,145
187206,cozy room,900521,Angelika-Maria,Mitte,Osloer Straße,52.56334,13.38802,Private room,25,2,251,2019-07-05,2.69,1,262
187307,beautiful apartment Berlin city,901140,Lana,Mitte,Brunnenstr. Süd,52.53537,13.40541,Entire home/apt,120,3,5,2012-01-09,0.05,2,365
187326,Cozy Apartment with sun terrace,901252,Almuth,Steglitz - Zehlendorf,Drakestr.,52.44409,13.29434,Entire home/apt,59,3,68,2019-04-25,0.98,1,108
188565,Lovely Sailingboat close to Berlin- Mitte,908562,Anis,Reinickendorf,West 1,52.57503,13.26306,Entire home/apt,86,1,4,2018-09-19,0.13,4,87
188922,Stay in Prenzlauerberg Berlin !,910884,Kristian,Pankow,Prenzlauer Berg Südwest,52.53049,13.41471,Entire home/apt,45,28,14,2014-08-28,0.15,1,0
189288,Townhouse Altenescher Weg,907038,Katarina-Susanne,Pankow,Prenzlauer Berg Ost,52.53814,13.45553,Entire home/apt,100,3,76,2019-07-06,0.86,2,294
